created_at;text;sentiment;sentiment_polarity;source;context_annotations;geo;name;username;location;verified
2022-06-30 23:59:57+00:00;"산다라박, 바지야 치마야? 실험적인 패션의 힙한 퇴근길

https://t.co/zD2hq2u4Nk

#SandaraPark #산다라박 #Dara #다라 https://t.co/o2h0h5Mkma";Sentiment(polarity=0.0, subjectivity=0.0);0.0;Twitter for Android;[{'domain': {'id': '10', 'name': 'Person', 'description': 'Named people in the world like Nelson Mandela'}, 'entity': {'id': '890705546550009856', 'name': 'Sandara Park', 'description': 'Sandara Park (박산다라)'}}, {'domain': {'id': '54', 'name': 'Musician', 'description': 'A musician in the world, like Adele or Bob Dylan'}, 'entity': {'id': '890705546550009856', 'name': 'Sandara Park', 'description': 'Sandara Park (박산다라)'}}, {'domain': {'id': '55', 'name': 'Music Genre', 'description': 'A category for a musical style, like Pop, Rock, or Rap'}, 'entity': {'id': '888105153038958593', 'name': 'K-pop', 'description': 'K-Pop'}}, {'domain': {'id': '131', 'name': 'Unified Twitter Taxonomy', 'description': 'A taxonomy view into the Semantic Core knowledge graph'}, 'entity': {'id': '847524658970636288', 'name': 'Music', 'description': 'Music and radio'}}, {'domain': {'id': '131', 'name': 'Unified Twitter Taxonomy', 'description': 'A taxonomy view into the Semantic Core knowledge graph'}, 'entity': {'id': '888105153038958593', 'name': 'K-pop', 'description': 'K-Pop'}}, {'domain': {'id': '131', 'name': 'Unified Twitter Taxonomy', 'description': 'A taxonomy view into the Semantic Core knowledge graph'}, 'entity': {'id': '890705546550009856', 'name': 'Sandara Park', 'description': 'Sandara Park (박산다라)'}}];;Dara World;DaraWorld84;;False
2022-06-30 23:59:56+00:00;seu perfil foi visto por 5 pessoas nas últimas 6 horas https://t.co/emvkhCr8LR;Sentiment(polarity=0.0, subjectivity=0.0);0.0;Twitcom - Comunidades ;[];;Rodrigues Anne;_anneRMartins;Manaus, Brasilien;False
2022-06-30 23:59:56+00:00;"RT @SN__20200122: ／
7thシングル「オレンジkiss」より
「僕に大切にされてね。」
Official HPにて試聴開始🎵✨
＼

「君の彼氏になりたい。」
「僕の彼女になってよ。」に続く楽曲❕
どんな結末になっているのか…
是非通常盤を手に取ってご確認くだ…";Sentiment(polarity=0.0, subjectivity=0.0);0.0;Twitter for Android;[];;めめ🖤 れいか🤖;MeMe_0216_reika;めめ様🖤はエロすぎ♡(///ω///);False
2022-06-30 23:59:56+00:00;1 pessoa acaba de visitar seu perfil https://t.co/tKI34gO7vy;Sentiment(polarity=0.0, subjectivity=0.0);0.0;Twitcom - Comunidades ;[];;Marlon Girardi;marlonsl; Brasil;False
2022-06-30 23:59:56+00:00;The APWU (American Postal Workers Union) seeks a Data Entry Clerk, Per Capita Department to be based in Washington, DC. Details can be found at: https://t.co/jPboeAhNL0 #1u #UnionStrong @APWUnational https://t.co/F1I7Mi2Q2W;Sentiment(polarity=0.0, subjectivity=0.0);0.0;Twitter Web App;[];;Union Jobs;UnionJob;;False
2022-06-30 23:59:55+00:00;pessoas que visitaram meu perfil e grupos que sigo no Twitter https://t.co/M0xyxHzlys;Sentiment(polarity=0.0, subjectivity=0.0);0.0;Twitcom - Comunidades ;[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '781974596752842752', 'name': 'Services'}}, {'domain': {'id': '47', 'name': 'Brand', 'description': 'Brands and Companies'}, 'entity': {'id': '10045225402', 'name': 'Twitter'}}];;DEEJHAY JÉEH PROD;djjehhoficial;;False
2022-06-30 23:59:55+00:00;"RT @AteezConnectz: ATINYS ‼️

Just a daily reminder here are some current voting polls to go drop votes for ATEEZ. 

The Blue Dragon Series…";Sentiment(polarity=0.0, subjectivity=0.16666666666666666);0.0;Twitter Web App;[{'domain': {'id': '10', 'name': 'Person', 'description': 'Named people in the world like Nelson Mandela'}, 'entity': {'id': '1085295439321001989', 'name': 'ATEEZ', 'description': 'ATEEZ (에이티즈)'}}, {'domain': {'id': '54', 'name': 'Musician', 'description': 'A musician in the world, like Adele or Bob Dylan'}, 'entity': {'id': '1085295439321001989', 'name': 'ATEEZ', 'description': 'ATEEZ (에이티즈)'}}, {'domain': {'id': '55', 'name': 'Music Genre', 'description': 'A category for a musical style, like Pop, Rock, or Rap'}, 'entity': {'id': '888105153038958593', 'name': 'K-pop', 'description': 'K-Pop'}}, {'domain': {'id': '131', 'name': 'Unified Twitter Taxonomy', 'description': 'A taxonomy view into the Semantic Core knowledge graph'}, 'entity': {'id': '847524658970636288', 'name': 'Music', 'description': 'Music and radio'}}, {'domain': {'id': '131', 'name': 'Unified Twitter Taxonomy', 'description': 'A taxonomy view into the Semantic Core knowledge graph'}, 'entity': {'id': '888105153038958593', 'name': 'K-pop', 'description': 'K-Pop'}}, {'domain': {'id': '131', 'name': 'Unified Twitter Taxonomy', 'description': 'A taxonomy view into the Semantic Core knowledge graph'}, 'entity': {'id': '1085295439321001989', 'name': 'ATEEZ', 'description': 'ATEEZ (에이티즈)'}}];;HALA Alisa || Wake up world 🏴‍☠️;wooniejoongie;;False
2022-06-30 23:59:55+00:00;RT @newsen_t: CIX 배진영 ‘장발의 분위기 美쳤네’[포토엔HD] https://t.co/PrVicj97Cd;Sentiment(polarity=0.0, subjectivity=0.0);0.0;Twitter for iPhone;[{'domain': {'id': '10', 'name': 'Person', 'description': 'Named people in the world like Nelson Mandela'}, 'entity': {'id': '897102960424960000', 'name': 'Bae Jinyoung', 'description': 'Bae Jinyoung (배진영) - member of Wanna One'}}, {'domain': {'id': '10', 'name': 'Person', 'description': 'Named people in the world like Nelson Mandela'}, 'entity': {'id': '1154815855445737472', 'name': 'CIX'}}, {'domain': {'id': '54', 'name': 'Musician', 'description': 'A musician in the world, like Adele or Bob Dylan'}, 'entity': {'id': '897102960424960000', 'name': 'Bae Jinyoung', 'description': 'Bae Jinyoung (배진영) - member of Wanna One'}}, {'domain': {'id': '54', 'name': 'Musician', 'description': 'A musician in the world, like Adele or Bob Dylan'}, 'entity': {'id': '1154815855445737472', 'name': 'CIX'}}, {'domain': {'id': '55', 'name': 'Music Genre', 'description': 'A category for a musical style, like Pop, Rock, or Rap'}, 'entity': {'id': '888105153038958593', 'name': 'K-pop', 'description': 'K-Pop'}}, {'domain': {'id': '131', 'name': 'Unified Twitter Taxonomy', 'description': 'A taxonomy view into the Semantic Core knowledge graph'}, 'entity': {'id': '847524658970636288', 'name': 'Music', 'description': 'Music and radio'}}, {'domain': {'id': '131', 'name': 'Unified Twitter Taxonomy', 'description': 'A taxonomy view into the Semantic Core knowledge graph'}, 'entity': {'id': '888105153038958593', 'name': 'K-pop', 'description': 'K-Pop'}}, {'domain': {'id': '131', 'name': 'Unified Twitter Taxonomy', 'description': 'A taxonomy view into the Semantic Core knowledge graph'}, 'entity': {'id': '897102960424960000', 'name': 'Bae Jinyoung', 'description': 'Bae Jinyoung (배진영) - member of Wanna One'}}, {'domain': {'id': '131', 'name': 'Unified Twitter Taxonomy', 'description': 'A taxonomy view into the Semantic Core knowledge graph'}, 'entity': {'id': '1154815855445737472', 'name': 'CIX'}}];;총공계;baeL_21;;False
2022-06-30 23:59:55+00:00;"RT @tactactak: ゼノブレイラスト本や成人向け漫画が各書店様にて委託中です👍👍
メロンブックス様➡️https://t.co/lyvMui8ev4
とらのあな様➡️https://t.co/Kh7aic9PxM
ブックメイト様➡️https://t.co/Pa3y7…";Sentiment(polarity=0.0, subjectivity=0.0);0.0;Twitter for Android;[{'domain': {'id': '85', 'name': 'Book Genre', 'description': 'A genre for books, like Fiction'}, 'entity': {'id': '847521144173350912', 'name': 'Comics', 'description': 'Comics'}}, {'domain': {'id': '131', 'name': 'Unified Twitter Taxonomy', 'description': 'A taxonomy view into the Semantic Core knowledge graph'}, 'entity': {'id': '839544274442051584', 'name': 'Entertainment'}}, {'domain': {'id': '131', 'name': 'Unified Twitter Taxonomy', 'description': 'A taxonomy view into the Semantic Core knowledge graph'}, 'entity': {'id': '847521144173350912', 'name': 'Comics', 'description': 'Comics'}}];;Jay0137;Jay_0137;;False
2022-06-30 23:59:54+00:00;01:00  Temp 13.1oC Change/ hr -0.8 Max Gust Last Hour 8.9 kmh  W   Sunrise  05:11 Set  21:53 https://t.co/25dfyyWA8p;Sentiment(polarity=0.0, subjectivity=0.06666666666666667);0.0;Weather Display Tweet;[];;Waterford Weather;waterfdweather;Waterford, Ireland;False
2022-06-30 23:59:54+00:00;seu perfil foi visto por 3 pessoas nas últimas 2 horas https://t.co/wyYgQIQAyI;Sentiment(polarity=0.0, subjectivity=0.0);0.0;Twitcom - Comunidades ;[];;Luu💜;ludmila_lujan;;False
2022-06-30 23:59:54+00:00;"RT @tanakanews_com: 以下の有料記事を無料化しました。
ロシアを濡れ衣で敵視して強くする  https://t.co/JIusdahhdh
トルコの奇策がウクライナ危機を解決する？  https://t.co/Ao1xQKeY56
覇権国に戻らない米国  ht…";Sentiment(polarity=0.0, subjectivity=0.0);0.0;Twitter for iPhone;"[{'domain': {'id': '123', 'name': 'Ongoing News Story', 'description': ""Ongoing News Stories like 'Brexit'""}, 'entity': {'id': '1484601166080081920', 'name': 'Russo-Ukrainian conflict'}}]";;すんちゃん;ChabanAKITA;;False
